Transaction Hash,Date & Time,From Address,To Address,Transaction Type,Asset Contract Address,Asset Symbol / Name,Token ID,Value / Amount,Gas Fee (ETH)
0x77b3a3caa26eda4cc9b8f39b74493f1405989c6595e5390d94b9d16034dc2809,2022-12-09 02:29:47,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,2232.149149,
0x954c7d3d5a54c4e5d93d83062cfd7693c86200b6921b19c32bb327755bce9f87,2022-12-10 14:49:23,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,4987.220318656583,
0x9830160215a3f1e4c51bb0049010ac3e4d8902cb3ef836d2ebe23ab74f2fabed,2022-12-10 14:49:47,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,9279.751293989635,
0x6650007399cfa78f3feac84aca6b274ee95239aefe6dfda8529a734101b9ec5f,2022-12-10 14:50:35,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,14266.971612646217,
0x6650007399cfa78f3feac84aca6b274ee95239aefe6dfda8529a734101b9ec5f,2022-12-10 14:50:35,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,2003.213245,
0x19f0602730d6b866aaeb82b46486e58982404b3c17406ca88acb6aeede657962,2022-12-12 04:20:11,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,5140.562216499737,
0x4dc6911a94201cfe7f92966f39303f3e04f7e6328dcaa73176bd7d7c64560d2a,2022-12-12 04:20:35,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,10536.83161751925,
0x07da873aa82ce3c6001c4780638c023924aab0b5e03ef5068cad8774a890f137,2022-12-12 04:21:11,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,15677.393834018989,
0x07da873aa82ce3c6001c4780638c023924aab0b5e03ef5068cad8774a890f137,2022-12-12 04:21:11,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,2108.985399,
0xfd59806e014ce3c73a72eec27d66ef7ebff46d31fef552709f703701efb9cbd0,2022-12-13 20:17:11,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,5547.1606560837845,
0x3b253072ec299b47893a8f031249641f39747d399d3849ec0b251a3441162e7b,2022-12-13 20:17:35,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,11310.251354185262,
0x776739cef46fbaf3e917f9c73df2e556a3d9d4650d5829491fa33db34f3dacf4,2022-12-13 20:19:35,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,16857.412010269047,
0x776739cef46fbaf3e917f9c73df2e556a3d9d4650d5829491fa33db34f3dacf4,2022-12-13 20:19:35,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,2481.97235,
0x9292f62656ba797ae5d467db8d1e577a27dc4bca2bb0db1e1046ed366da1a7b9,2022-12-13 20:21:11,0xd620aadabaa20d2af700853c4504028cba7c3333,0x0000000000000000000000000000000000000000,ERC-20 Transfer,0x045da4bfe02b320f4403674b3b7d121737727a36,DCHF,,0.0,
